Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,PANASONIC_B,111.134698,-58.198019,-90.000000,top
C2,10uf,PANASONIC_B,176.646170,-67.028200,90.000000,top
C3,100n,C0603,152.462776,-125.279835,-90.000000,top
C4,1uf,PANASONIC_B,141.296445,-135.849282,-90.000000,top
C5,10uf,PANASONIC_B,122.518148,-104.976119,90.000000,top
C6,47pf,C0603,127.291670,-112.981638,0.000000,top
C7,100n,C0603,130.710370,-114.770000,180.000000,top
C8,100n,C0603,116.566370,-58.327400,90.000000,top
C9,1n,C0603,112.222970,-104.254400,0.000000,top
C11,10n,C0603,145.355413,-73.173841,180.000000,top
C12,10uf,PANASONIC_B,179.732370,-62.714000,-90.000000,top
C13,100n,C0603,140.426082,-116.660107,-90.000000,top
C14,100n,C0603,187.160685,-98.400347,90.000000,top
C15,100n,C0603,172.612116,-126.149085,180.000000,top
C16,10n,C0603,151.836579,-57.847813,0.000000,top
C17,100n,C0603,130.616388,-123.747682,90.000000,top
C18,100n,C0603,158.603370,-108.343800,-90.000000,top
C19,20pf,C0603,159.569510,-118.224047,180.000000,top
C20,20pf,C0603,169.887326,-118.181704,180.000000,top
C21,1n,C0603,183.673170,-102.806600,0.000000,top
C22,100n,C0603,109.632170,-89.446200,90.000000,top
C23,10n,C0603,145.486098,-57.720813,180.000000,top
C24,10n,C0603,151.835613,-73.595813,0.000000,top
C25,1uf,PANASONIC_B,173.366001,-135.997238,0.000000,top
C26,10uf,PANASONIC_B,123.099401,-135.741104,0.000000,top
C27,47pf,C0603,125.613748,-128.721535,0.000000,top
C28,100n,C0603,155.011557,-65.090750,0.000000,top
C29,100n,C0603,176.180170,-118.453000,180.000000,top
C31,100n,C0603,159.670170,-91.910000,90.000000,top
C41,100n,C0603,178.473282,-97.521116,-90.000000,top
D1,RS 301-906,SMB-DIODE,177.754970,-57.823200,0.000000,top
D2,RS 301-906,SMB-DIODE,186.238570,-72.682200,-90.000000,top
